t(),X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56
2005-01-25,2.815601,0.429969,0.646529,,2.017928,0.453316,4.233443,1.052335,-0.563553,,,5.441195,3.412096,,,1.361175,2.118157,,4.993152,,6.015127,,,,4.16081,,,,4.19902,,,,,0.561614,,,-0.183949,0.414952,2.419319,2.342838,,,,2.350342,,2.739385,0.155792,-1.714637,-1.394876,-0.724259,,1.348264,1.642649,-3.149129,,4.160339
2005-01-26,-0.630677,-0.467559,-0.693421,,-0.174274,-0.814708,2.288376,-1.732161,-1.740829,,,3.353505,1.30817,,,-2.193062,1.664142,,4.502971,,-0.569926,,,,4.379013,,,,1.598865,,,,,-3.175217,,,-3.584043,1.61511,0.851538,0.047232,,,,-1.550809,,3.095101,-1.784968,-2.565663,-1.552741,-1.26098,,1.23361,3.181825,-5.282236,,-0.067069
2005-01-27,-0.014202,-0.81607,-1.211418,,1.271888,-2.117475,2.973969,-1.706832,2.640669,,,2.723754,2.269686,,,-2.163816,0.721385,,5.668322,,1.261285,,,,3.442933,,,,-1.668047,,,,,-1.748177,,,-0.834669,-0.882605,1.256777,-0.939241,,,,-2.103924,,2.970553,-1.501719,-1.398562,2.343534,0.826985,,-1.586232,4.811385,-5.662197,,-0.03466
2005-01-28,0.149112,1.11726,0.813574,,0.828632,-1.751337,2.066641,-0.193583,1.860193,,,2.769894,3.416793,,,-0.552035,-2.015873,,4.400954,,2.689978,,,,1.467403,,,,-2.232786,,,,,-1.286871,,,1.168134,0.290801,1.384066,-2.381751,,,,0.156623,,1.631333,-0.470141,-1.079309,3.689079,-1.717965,,-1.157438,0.389831,-3.45038,,0.51092
2005-01-31,-1.577225,2.523504,3.701882,,-0.772695,-3.222045,1.221625,-0.903281,1.097933,,,2.698463,-0.129198,,,-1.324519,0.459747,,2.615879,,-1.144954,,,,-2.414629,,,,-4.200287,,,,,-1.774655,,,0.716859,0.273466,2.165018,-4.078222,,,,-0.431748,,-2.033664,-1.383612,-1.280351,5.498541,-0.494475,,-3.355626,-2.875024,-0.721327,,-0.930934
2005-02-01,-1.936677,-0.524585,1.84778,,-1.386894,-4.716185,-1.115287,-1.886292,0.034092,,,-0.481932,-0.137569,,,-2.197247,0.996445,,3.303732,,-1.193614,,,,-4.273247,,,,-7.036996,,,,,-1.864493,,,-0.109213,-1.274915,0.241193,-6.811383,,,,-0.384997,,-3.792471,-1.435922,-1.077493,7.975243,-0.665545,,-5.369999,-3.598856,-1.410162,,-2.104083
2005-02-02,-3.40005,-0.103954,1.091349,,-1.026406,-4.255025,1.486203,-1.878711,0.356404,,,0.890069,-1.916725,,,-2.059373,2.748054,,3.446864,,-2.189846,,,,-1.737027,,,,-5.344433,,,,,-0.630127,,,-0.743312,1.451556,0.907812,-4.890581,,,,-0.130686,,-0.947919,1.611007,-0.663687,9.063525,-0.526691,,-7.094262,-4.106773,0.337409,,-2.884312
2005-02-03,-5.225483,0.351409,1.686345,,2.417203,-5.47668,3.354762,-1.758187,0.559333,,,0.475014,-1.282941,,,-1.450111,0.90207,,4.217047,,-2.863524,,,,-1.903161,,,,-3.315807,,,,,-0.375801,,,-0.622861,3.85709,0.474864,0.067547,,,,1.718583,,1.784169,3.060551,-0.702693,13.911965,1.414805,,-8.836253,-4.774711,0.627908,,-2.189628
2005-02-04,-7.393604,2.026846,0.130138,,3.243582,-6.508375,3.6913,-3.804569,-0.428246,,,-0.618134,-3.440141,,,-3.340318,0.282747,,1.277436,,-4.04223,,,,-0.500497,,,,0.170808,,,,,-0.41059,,,3.017695,4.664516,2.688145,2.468473,,,,4.549217,,0.25437,0.400305,-3.582642,8.578872,-0.70809,,0.142821,-4.175693,2.993968,,-3.66559
2005-02-07,-5.181868,2.833593,-0.698798,,3.338881,-6.590924,3.851338,-6.124467,-3.650883,,,-0.654058,-4.160685,,,-5.462776,-1.761592,,2.178083,,-2.848781,,,,0.360416,,,,-1.23998,,,,,-0.590161,,,2.00463,3.630831,2.224781,-0.704118,,,,2.222402,,-0.51391,2.813145,-3.517064,1.808212,0.337105,,1.521746,-4.553553,4.274236,,-6.004382
